Job Title,Job Description
Full Stack Developer,product team affirm delivers key product goal enable retail partner grow business online offline team executes revenue generating priority strengthens affirm offering across portfolio merchant consumer unique opportunity gain exposure skill required succeed b2b b2c capacity order succeed vision offer honest financial service improve life team must maintain extreme efficiency deliver seamless experience every customer interaction 're looking experienced motivated software engineer build product system serve customer merchant partner employee 'll lead development product merchant partner customer finance risk operation team collaborate product management design platform engineering iterate enhance product offering plan design communicate implement software system eye towards robust extensible architecture lead technical discussion plan improve overall software quality develop technical specification decompose specification task phase estimate project work effort delivery create project roadmap continuously raise bar term code quality performance system design look passionate passionate affirm 's mission `` deliver honest financial product improve life '' technical fluent full-stack development use react/redux + python/flask collaborative enjoys cross team collaboration especially product manager designer user focused care detail user experience affirm affirm using technology re-imagine re-build core part financial infrastructure enable friendlier transparent financial product service improve life believe financial industry fundamentally broken core infrastructure built technology 1970s dwindling number people say `` trust bank look '' ’ way ’ mission fix problem based san francisco ; founded max levchin founding cto paypal jeff kaditz cdo dena/ngmoco nathan getting founding cto palantir ; building team exceptionally talented people join u mission li-ah1
Wordpress Developer,"Experience:-1-3 Years

Job Description

Should have the knowledge of PHP, JQuery, JavaScript, MySql, and must have experience of WordPress.Setting up multi-site WordPress builds.
Integrating feeds from social networks.
Custom developing blogs.
Integrating with third-party APIs."
Full Stack Developer,overview perficient ’ deliver mission-critical technology business solution fortune 500 company recognized brand planet ’ cutting-edge technology thanks close partnership world ’ biggest vendor network office across north america well location india china give opportunity spread wing ’ proud publicly recognized “ top workplace ” year year due small part entrepreneurial attitude collaborative spirit set u apart keep colleague impassioned driven fulfilled opportunity perficient currently ha career opportunity angular developer detroit office located livonia mi angular developer participate aspect software development lifecycle including estimating technical design implementation documentation testing deployment support application developed client member working team environment take direction solution architect lead development activity responsibility serve front end development lead mentor participate phase front end development effort including architect estimate develop test deliver provide technical support leadership development continual improvement service develop maintain effective working relationship team member demonstrate ability adapt work team member various experience level qualification passionate coder 7+ year application development experience must full stack java developer strong angular nodejs experience client facing consulting experience highly preferred javascript framework angularjs ember.js others java/javaee experience strong expertise front-end technology javascript es6 react etc skilled problem solver desire proven ability create innovative solution flexible adaptable attitude disciplined manage multiple responsibility adjust varied environment future technology leaders- dynamic individual energized fast paced personal professional growth phenomenal communicator explain present concept technical non-technical audience alike including high level decision maker bachelor ’ degree mi computer science math engineering comparable major solid foundation computer science strong competency data structure algorithm software design knowledge experienced developing software using agile methodology proficient authoring editing presenting technical document ability communicate effectively via multiple channel verbal written etc technical non-technical staff perficient full-time employee receive complete competitive benefit offer collaborative work environment competitive compensation generous work/life opportunity outstanding benefit package includes paid time plus holiday addition colleague eligible number reward recognition program including billable bonus opportunity encouraging healthy work/life balance providing colleague great benefit part make perficient great place work perficient perficient leading digital transformation consulting firm serving global 2000 enterprise customer throughout north america unparalleled information technology management consulting creative capability perficient perficient digital agency deliver vision execution value outstanding digital experience business optimization industry solution work enables client improve productivity competitiveness ; grow strengthen relationship customer supplier partner ; reduce cost perficient 's professional serve client network office across north america offshore location india china traded nasdaq global select market perficient member russell 2000 index & p smallcap 600 index _perficient equal opportunity employer qualified applicant receive consideration employment without regard race color religion sex national origin disability status protected veteran status characteristic protected law._ _disclaimer _ _the statement intended complete statement job content rather act guide essential function performed employee assigned classification management retains discretion add change duty position time._ _li-js1_
Flutter Developer,"Job Summary
You will be developing production level apps in Flutter & working with an experienced team.
You will be coordinating with the backend team to integrate API into your application.
You will be ensuring the apps developed have a good customer experience.

Key Skills
Candidate needs good knowledge in dart along with knowledge native andoid/iOS
Should have experience/knowledge in Provider architecture.
Required Experience and Qualifications
Experience in Flutter in necessary.
Knowing how to work with Plugins and Platform-channels is a plus.

Good analytical and problem-solving skills.Â
Design and build advanced applications for the Android platform.Â
Professional development skills using Android Studio/Visual studio/Xcode.Â
Strong knowledge in XML and JSONÂ
Working with external data sources and APIsÂ
Strong knowledge of mobile UI design principles and best practicesÂ
Work on bug fixing and improving application performance.Â
Solid understanding of mobile development life cycle.

Benefits
Great environment to work in.
Community
Flexible hours
00-5.00 Years"
Django Developer,"Education
MCA / MSc. IT. / BE / ME
Work Experience
Minimum 1.5 to 2 years of solid experience in Python/Django
Required Skills
Hands-on experience in Django ORM & default template engine.
In-depth understanding of software architecture.
Excellent Communication Skill in English
Strong knowledge in Django REST framework.
Good communication and team collaboration skills.
Basic knowledge in Angular JS/React JS will be an additional benefit.
Basic knowledge in Unit Testing.
Basic understanding of SDLC & Agile methodology.
Looking forward to joining a friendly environment?
Reach out to us at
hr@acespritech.com"
Network Administrator,"to take care fo Network and security infra. { cisco, juniper, Aruba etc.}
Position:Sr.Engineer Network Support
Organisation: InspiriSYS solution- www.inspirisys.com
Location:Chennai
Exp- 5 -6 yrs +
Budget:9 LPA Max
Qualifications: -B.E. B.Tech. , MCA
Certification:CCNP and above
Company Profile: -
InspiriSYS enables enterprises to re-imagine their businesses for the ever-changing digital world. Established in 1991, we are a leading information technology services and consulting company in India along with having a global footprint across North America, Middle East, UK, Japan, and Singapore markets.
InspiriSYS Solutions Limited is a wholly owned subsidiary of CAC Corporation (CAC), Japan.

Key Responsibilities:
Solutioning towards Network & Security requirement
Escalation lead for Network related issues
Design and implement a DC & DR environment
Flexible to extend beyond work hours towards accomplishing assigned tasks.
Planning and supporting network infrastructure
Risk analysis and mitigation (for configuring new networks)
Interaction with OEM for Highly Critical technical support of Network devices.
Responsible for Reports & Technical documentation.
Should be capable to guide the team/individual on requirement basis.
Communicate effectively with Customers
Responsible for MIS Reports/ Technical documents
Customer/Vendor Co ordination
Adhere to ITSM based Ticket Management with SLA Compliance

Key Skills:
Design and deploy functional networks (LAN, WLAN, WAN)
Strong hands on in Router, Switches, Firewall implementing & configuring
Configure, Install and Manage varied network devices and services (such as Routers, L3 & L2 Switches, Firewalls, Wireless Controller and load balancers etc.) across DC and Client Environments.
Should have experience in Managing Major Corporate/DC Networks
Experience in Routing protocols, BGP, OSPF, MPLS-VPN, DHCP, and DNS.
Experience in Firewalls VPN/Remote Access network.
Should have knowledge on IP address and subnets, Backup utilities, Monitoring Tools
Work Experience in Network Products and Visio for Reports and Technical documentation
Suggest improvements to network performance, capacity and scalability
Strong in leading OEM Cisco (preferred), Juniper, Extreme, Aruba.. etc.
Carry out tasks like network maintenance and Firmware upgrades of Network devices Across DCs at periodical intervals.
Knowledge in OS (Windows/Unix/Linux)
Experience in Network related configuration of Servers/Desktop Operating Systems
Responsible for Incident, Problem, Change Management & Service Request.
Should have Good experience in ISP Coordination and Vendor management.
Should have Good Experience in Customer Coordination (understand customer needs and providing solutions).
Should have Hands on Experience in Network Tools.
Should have Hands on Experience in Infra monitoring and management tools.
Strong in ITIL Process.

Candidate Profile:
5 - 6 years in Network & Network Security Management
Minimum 2 to 3 Implementation cycle (individual contributor)
Excellent spoken and written English Communication.
Good attitude towards corporate environment.
Team player & Mentor to the team.
Energetic, self-motivated and self-sufficient in accomplishing tasks.
Good analytical and problem solving skills.

Kindly send Ur C.V. with details like-
1. Ctc
2. Expectation
3. Notice period



Regards,
Rajesh Kumar
AAYAM CONSULTANTS
Cell:- 9311232179/ 7011595674
Land line:- 011-29258011
EMail id:- rajesh.aayam@gmail.com"
Wordpress Developer,"Candidate would be responsible for both back-end and front-end development, including creating WordPress themes and plugins. Primary web development resource for day to day internal marketing initiatives Develop responsive websites and/or web applications with a mobile-first approach Design and implement new website features and functionality to stay in alignment with market dynamics and industry trends Deliver high-performing and efficient web sites, pages and services Support marketing team to perform SEO related development tasks in Wordpress Contribute to all phases of the development life cycle and participate in cross-functional technology projects / initiatives Write HTML and CSS modifications ensuring consistent style across platforms and browsers Edit and make changes to front-end technologies, including HTML5, CSS3, JavaScript, jQuery across multiple brand websites

Job Type: Full-time

Salary: ₹10,000.00 - ₹15,000.00 per month

Experience:
WordPress: 3 years (Required)
work: 3 years (Required)
total work: 3 years (Required)
Education:
Bachelor's (Required)
Benefits:
Other
Industry:
Software Development
Work Remotely:
Yes"
Full Stack Developer,job title java full stack developer job description 4+ year web development using html/html 5 javascript jquery ajax cs 2+ year web application development using java j2ee technology mvc/spring framework good knowledge problem solution cross browser compatibility write code according varying level specification created ui designer order create mock-up prototype final product independently design code test major feature well work jointly team member deliver complex change good experience understanding ajax object-oriented javascript dom xml mandatory skill node j html/html 5 javascript jquery ajax cs technical skill sno primary skill proficiency level rqrd./dsrd 1 java pl1 required 2 xmlxslt pl1 required 3 mvc/spring pl1 required 4 webservices pl1 required proficiency legend proficiency level generic reference pl1 associate ha basic awareness comprehension skill process acquiring skill various channel pl2 associate posse working knowledge skill actively independently apply skill engagement project pl3 associate ha comprehensive in-depth specialized knowledge skill / ha extensively demonstrated successful application skill engagement project pl4 associate function subject matter expert skill associate capable analyzing evaluating synthesizing solution using skill job location chicago illinois united state employee status full time employee shift day job travel job posting aug 01 2018 cognizant u corporation equal opportunity employer minority/female/disability/veteran require accessibility assistance applying open position u please send email request careersna2 @ cognizant.com cognizant cognizant one world 's leading professional service company transforming client ' business operating technology model digital era unique industry-based consultative approach help client envision build run innovative efficient business headquartered u.s. cognizant member nasdaq-100 ranked 195 fortune 500 consistently listed among admired company world learn cognizant help client lead digital www.cognizant.com follow u twitter usjobscognizant cognizant recognized military friendly employer coalition member veteran job mission cognizant veteran network assist veteran building growing career cognizant allows leverage leadership loyalty integrity commitment excellence instilled participation military service
Full Stack Developer,’ thrilled announce ’ hiring grow team product ! 3play medium offer truly unique opportunity work small team developer company offer startup-minded size culture robustly backed steady stream customer project every day system process hundred hour video content helping u improve expand way people consume online medium make web ’ video content accessible ’ also excited brand-new product pipeline ! looking enthusiastic full stack developer strong work ethic eager learn solve challenging problem build new feature product pair developer well work independently project given every opportunity show ’ made take charge project need little leadership ’ work large new product fix small bug everything role responsibility expand transcript editing tool used hundred captioners customer efficiently edit time-synchronized text along video source add creative new feature interactive transcript video accessibility plugins implement new feature request well fix customer contractor facing application build integration third-party apis including video hosting platform cloud-based machine learning service speech-to-text text-to-speech service aggregate analyze visualize large data set across hundred thousand hour billion word worth uploaded video content pitch team component application demand immediate attention position requirement 3+ year experience demonstrable aptitude ruby rail another web development framework strong communication collaboration skill determination step challenge eagerness learn share knowledge good problem solving debugging ability self-motivation drive progress including collaborating others insatiable curiosity discover everything work hood least one 1 2+ year professional experience writing kind software ; 2 degree cs-related field nice proficiency coding language ruby python java c++ good knowledge javascript html cs familiarity algorithm algorithmic complexity git & github collaborative version control system company 3play medium rapidly growing profitable start-up making huge impact way people consume online medium provide premium captioning transcription audio description translation solution 2500 higher ed enterprise medium government customer goal simplify workflow flexible apis secure online account system integration multitude player platform lecture capture system got start 2007 mit sloan based boston work environment awesome work environment ! team hard working laid back fun politics wasteful meeting project get done quickly efficiently team dedicated building successful company spacious office lot natural light game room friendly dog named bo share view ambition time need work long difficult hour work fun interesting gratifying work direct impact company ’ success location perk boston – fort point red line near south station heart boston ’ thriving innovation district boston seaport new restaurant bar popping regularly surrounded boston ’ buzzing tech scene benefit competitive compensation stock option medical dental vision plan 401k vacation/sick pay disability life insurance transportation subsidy company outings/social event beer/kombucha/cold brew tap
iOS Developer,"Exp: 4-8Years
1.Experience with X code, Swift/Objective-C, iOS SDK.
2.Expert UI Development for iOS using UIKit and should have worked on Custom UI Development for iOS.
3.Experience working with Auto layout, size classes etc to create single interface of the application that works well in iPhone and iPad.
4.Strong experience working the web service to connect iOS application with the backend Services.
5.Strong knowledge of Object oriented design principles.
6.Knowledge of SQL Lite, Core data for iPhone.
7.Excellent optimization and debugging skills.
8.Excellent communication skills.
Contract length: 12 months
Expected Start Date: 3/11/2020
Job Type: Contract
Salary: ₹40,000.00 - ₹80,000.00 per month
Experience:
iOS Development: 4 years (Preferred)
Education:
Bachelor's (Preferred)
Programming Languages needed:
Objective-C (Required)
Swift (Required)
Work Remotely:
Temporarily due to COVID-19"
Flutter Developer,"Wanted Android / IOS /Web Developer fresher or 1 year experience , Person with knowledge and experience of backend API development will be preferred.
Skill Set - Kotlin / Swift / Flutter / PHP / .net/ WP / JavaScript / HTML5
Job Type: Full-time
Salary: ₹15,000.00 - ₹20,000.00 per month
Schedule:
Day shift
Education:
Bachelor's (Preferred)
Work Remotely:
No
Speak with the employer
+91 9893014996"
JavaScript Developer,"Who are we:

AI has been redefining the way enterprises work and contact centers are no exception; in fact, it's one where AI is increasingly in demand. The use of chat bots, machine comprehension, named-entity recognition, sentiment analysis, recommender systems, speech recognition, fraud detection, etc. has led to boundless improvements in contact center efficiency and customer happiness. Cisco's Contact Center solutions enable businesses to improve customer service and deliver personalized customer experiences by harnessing the power of big data and AI — that's what you will do!

Over 3 million agents across 30,000+ different enterprises use Cisco Contact Center solutions and will be using your solutions to deliver a phenomenal customer experience to billions of people.

Learn more about us: http://cs.co/contactcenter

Who You'll Work With:

You'll join a newly formed, high-caliber team that's building greenfield AI solutions for contact centers. We're customer-focused, data-informed, passionate about solving ambitious problems, keen on getting things done, and we do it all with craftsmanship.

Who You Are:

You know how to build AI solutions at scale. As a Senior Full Stack Engineer, you will design and build scalable and reliable cloud-native micro-services and data pipelines in our AI Platform. You will mentor and lead others towards making sound technical decisions. You're passionate about learning, research, and using state-of-the-art technologies and software development techniques.

Your skills and experience include:

Required Skills:

· 7+ years of software Design and development experience

· Java, multithreading, frameworks like Akka, Spring, REST APIs

· UI Design with Javascript, React, AngularJS

· Big Data Frameworks & Technologies

Desirable Skills:
Building gRPC Clients & Servers
Machine Learning – Model building & Serving with Tensorflow, Pytorch, Keras, scikit-learn
Experience building production AI solutions
CI/CD pipelines with Docker, Kubernetes, and Jenkins
Why Cisco:

#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference powering an inclusive future for all.

We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!

But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)

Day to day, we focus on the give and take. We give our best, give our egos a break, and give of ourselves (because giving back is built into our DNA.) We take accountability, bold steps, and take difference to heart. Because without diversity of thought and a dedication to equality for all, there is no moving forward.

So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Passion for technology and world changing? Be you, with us!"
Node js developer,"Job Location* - Navi Mumbai
Required Experience* - 3+ Years
The highlight of engagement opportunity: *
Technology: Node.js
Must know: Express.js (Fastify) & PostgreSQL
Number of years of experience expected: 3+ years
Areas of past experience preferred: TypeScript, VueJs, Rest, Crud
Educational qualification expected: Bachelor’s degree and above (preferably in the field of Information Technology and Computer Science and with overall aggregate of 60% - although not mandatory )
Additional qualifications/ certifications required: No
Key responsibility areas: *
Development of server-side apps projects within the company
Writing reusable, testable, and efficient code
Design and implementation of low-latency, high-availability, and performant applications
Implementation of security and data protection
Coordination with Project Manager and Operations Head for the execution of the project
Coordination with clients while implementing the project
Proactive to take responsibility for the delivery
Key requirements: *
Should have mandatory experience in Node.js platform
We work in NestJs. Should be ready to open to work in NestJs.
Understanding the nature of asynchronous programming and its quirks and workarounds
User authentication and authorization between multiple systems, servers, and environments
Should have knowledge of server-side app architectures, Promises, Events, JavaScript standards and best practices
Should have excellent logical skills
Write clear and manageable code
Creating database schemas that represent and support business processes
Implementing automated testing platforms and unit tests
Proficient understanding of code versioning tools, such as Git
Should be able to work on third-party libraries and APIs.
Should have knowledge of optimizing application’s performance and memory consumption
Create structure and documentation of the developed applications
Responsible for periodic project management updates to clients
Key skills required: *
Node.js
PostgreSQL
ExpressJS
TypeScript
Expected Start Date: 15/11/2020

Job Type: Full-time

Salary: ₹500,000.00 - ₹800,000.00 per year

Schedule:
Day shift
Experience:
Node.js: 3 years (Required)
Education:
Bachelor's (Preferred)
Location:
Navi Mumbai, Maharashtra (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Django Developer,"urgent requirement for ""Â Python Django "" in one of the leading company.

1.Â Python Django at Ahmedabad.

Job Location: Ahmedabad.

1. Qualification: Graduate

2. Experience: 1-5 years

3. CTC: As per your current CTC

Please send your updated resumeÂ

1.00-5.00 Years"
PHP Developer,"Key Skills

Laravel 5+
PHP
MySQL
JavaScript
Git

Minimum experience

1 Year +

About this job

We are looking for PHP developers with a 1 year + experience in Laravel PHP framework & MySQL. Must have working experience with Laravel 5+"
Software Engineer,"Associate Staff
Engineer (.Net Core-Web-Kubernetes)

4.6 to 6.5
years of experience

ABOUT
NAGARRO:

Nagarro helps clients transform, adapt, and build new ways into the future through an entrepreneurial, agile, and caring mindset. We excel at digital product engineering and deliver on our promise of thinking breakthroughs. Today, we are 8,400+ experts across 25 countries, forming a Nation of Nagarrians, ready to help our customers succeed.

At Nagarro, you can look forward to a work culture that is dynamic and non-hierarchical. You will be given opportunities to add value to challenging and complex assignments, while collaborating with world class technologists. The versatile environment here, helps foster fresh perspectives and enables you to deliver high quality code. There will be ample opportunities provided for skill upgradation to accelerate your professional and personal development.

WHAT MAKES
YOU A GOOD FIT FOR THIS ROLE:
Relevant
expertise in Asp.net Core, C#, MVC, Web Services, Kubernetes, Docker, SQL and NoSQL databases
Strong
knowledge of JavaScript, OO JavaScript (ES6 onwards), HTML5/CSS, OOA and OOD
Concepts
Experience
in Relational Database: SQL Server/MySQL/Oracle, Cloud Platform:
Amazon/Azure/Google Cloud
Experience
in Testing Frameworks (Web): MSTest/NUnit/Jasmine/Karma/Mocha, Repositories:
Git/SVN/TFS
Passionate
about writing world class code
High level
of commitment to client satisfaction and agility
Collaborate
with others and build positive working relationships
Possess a
strong work ethic
Strong
written and verbal communication skills
WHAT ARE YOUR RESPONSIBILITIES:

Analyzing
the project’s requirements and the ability to convert said requirements into
technical documents, design and code
Implementing
design methodologies and tool sets
Writing
well-designed, defect free code which scales well and follows all best practices
and guidelines
Executing
the development of software with a strong focus on the security, performance,
and robustness
Conducting
deep level analysis to identify root cause to systematically resolve issues
Following
all defined software configuration management best practices
Reviewing
code to identify issues as well as deviations from best practices
Addressing
issues promptly, responding positively to setbacks and challenges with a
mindset of continuous improvement"
Node js developer,"Skills
Nodejs, Express JS, Javascript, ES6, jQuery, GIT
Roles And Responsibilities
Assisting in the integration of technical and application components.
Coding and testing program modules; assisting in design
Maintaining, tuning and repairing applications; providing user support
Participating in execution and documentation of tests
Executing conversion plans and documenting possible improvements; identifying disruptions in the processes"
Software Engineer,"Staff - Software Development Engineer in Test

About Netskope

Today, there's more data and users outside the enterprise than inside, causing the network perimeter as we know it to dissolve. We realized a new perimeter was needed, one that is built in the cloud and follows and protects data wherever it goes, so we started Netskope to redefine Cloud, Network and Data Security.

Since 2012, we have built the market-leading cloud security company and an award-winning culture powered by hundreds of employees spread across offices in Santa Clara, San Francisco, Seattle, Bangalore, London, Melbourne, and Tokyo. Our core values are openness, honesty, and transparency, and we purposely developed our open desk layouts and large meeting spaces to support and promote partnerships, collaboration, and teamwork. From catered lunches and office celebrations to employee recognition events and social professional groups such as the Awesome Women of Netskope (AWON), we strive to keep work fun, supportive and interactive.Visit us at Netskope Careers and follow us on Twitter @Netskope and Facebook.

Summary:

We are looking for a Software Engineer to join our team of experts to help us with our fast-paced and rapidly growing SaaS API Security product. You will be well suited to this role if you are driven by high quality, high velocity software delivery challenges and using innovative and cutting edge solutions to achieve these goals.

In this role, essentially you are responsible for the following functions : develop, enhance our SaaS API security product. You will solve complex scale problems and deploy and manage the solution in production. You will not only interact with well known SaaS Applications via their APIs, you will also operate the interactions at cloud scale.

Job Responsibilities
Review product design and suggest improvements from testability and user perspective
Design and deliver effective and automatable test plans.
Write test automation which can execute on large parallelized CI/CD Infrastructure
Be an effective code reviewer for automation and product code.
Analyze and recommend the right tools for automation.
Simulate negative scenarios and perform chaos testing
Handle customer escalations, perform root cause analysis and drive customer issues to closure from QE perspective.
Work closely with the development team, product management and other stakeholders in various phases of product development to ensure alignment with strategy, planning, risks and mitigations.
Preferred Qualifications
B.E /B.Tech /M.Tech degree from a recognised and accredited university/college.
Minimum 8 years of experience preferably a mix of SDET and product testing.
Preferred Technical Skills
Strong expertise in programming languages like Python or Java (Python preferred).
Strong expertise in RESTful Web Service automation and Day-1 automation readiness.
Rich experience in validation of complex systems which includes data pipeline, task queueing, async processing etc.
Should have worked on a cloud based product and have addressed reliability, resiliency and scale related problems
System/server side experience for troubleshooting and strong knowledge of Linux.
Understanding of technologies like Redis, Kafka and NoSQL databases.
Good working experience in CI/CD tools like Jenkins, Drone and monitoring tools like ELK.
Technical know-how of source code systems like Github
Desired Technical Skills
Experience in designing test framework
Cloud technologies like Docker, Kubernetes, and AWS/GCP
Working experience with public REST APIs/SDK of major SaaS vendors like Google, Microsoft or IaaS solutions like AWS, GCP etc
Understanding of Python Celery
Additional Skills
Eager to learn new products and technologies
Strong verbal and written communication skills. Able to communicate in an open, transparent and consistent manner with team and co-workers.
Determined and ever ready to roll up sleeves to respond to the needs of customers proactively and promptly.
Achievement orientated and willing to take responsibility for own actions.
Believe in innovation and out-of-the box thinking to foster originality of ideas.
#LI-GS1"
Backend Developer,"Back End Developer Needed with following Mandatory Skills: -
-NodeJS
-MYSQL
-Express.JS
-Databases
Optional: PHP
Preference Would be given in the following scale:
Skill------ > 1st
Flexibility--------- > 2nd
Distance from job--------- >3rd
Job is not static but growth oriented after first 12 months.
Contract length: 12 months
Job Types: Full-time, Temporary, Contract
Salary: ₹19,076.00 - ₹25,000.00 per month
Schedule:
Morning shift
Experience:
Backend Development: 1 year (Required)
total work: 1 year (Required)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
JavaScript Developer,"Lead Consultant–UI with React, Node and Javascript
Function: Operations
Bangalore, India
With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world’s biggest brands—and we have fun doing it. Now, we’re calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us.
Inviting applications for the role of Lead Consultant – UI with React, Node and Javascript.
In this role, resource will be responsible to collaborate with design team, technology, and architecture teams. Responsible for the usage of technologies across the existing client products. Create reusable components, and perform integration testing, design and maintain coding standards to enhance user experience.
Responsibilities:
The Candidate should have:
Good technical experience with hands-on experience in UI activities with React, Node and Java. There should be Experience with React with Oriented Javascript/Typescript Development using new architectures and libraries.Relevant experience in React oriented design and development including highly flexible development life cycle.
Qualifications:
Minimum qualifications
B. Tech/MCA
Preferred qualifications:
The relevant candidate should have :
Technology degree Education and Technology certifications.
Multiple year, Software engineering experience in agile environments and DevOps culture.
Experience of working in Product and Platform thinking teams.
Digital marketing experiences a big plus
Core Technology Engineering teams in Consumer Engg.
Global Go To Market & Global Marketing, Growth, Channel Planners
Offshore Dev Teams, Campaign Delivery Experts, Process Design Developers, Enablement Pods Agencies & Partners: MultipleCan probe the customer and ask relevant questions to get the necessary clarifications on requirements and conveys the same to technical solution teams.
Extremely strong written and presentation / verbal communication skills with experience of customer interfacing roles.
In-depth requirement understanding skills with good analytical and problem solving ability, interpersonal efficiency, and positive demeanor. A very Good teammate with an experience of working in a multi-stakeholder environment.
Collaborate efficiently with multi-cultural, dispersed and multi-party teams & working within a matrix structure to harness capabilities of the team and build a winning proposal.
Genpact is and equal opportunity employer with best in the class remunerations and benefits like PF, Earned leaves, sick leaves etc. You will get a good work life balance along with on the job performing and learning. We also provide health insurance.
Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube"
Wordpress Developer,"Greetings from Elsner Technologies Pvt.Ltd. !

We are looking for a WordPress Developer.

Experience - 1 year

Location - Ahmedabad

5 Days working

Job Description:-

We are seeking a WordPress Developer responsible for both back-end and front-end development, including creating WordPress themes and plugins.
This position requires a combination of programming skills (namely PHP, HTML5, CSS3, and JavaScript) and aesthetics (understanding element arrangements on the screen, the color and font choices, and so on).
The candidate should have a strong understanding of industry trends and content management systems.
Experience with responsive and adaptive design is strongly preferred. Also, an understanding of the entire web development process, including design, development, and deployment is preferred.

If you have any query please contact us on this No.9099916499 (Whatsapp)

About Company
Elsner is a full-fledged IT service driven company providing precision Web Development and Mobile Development services which ultimately results in the development of state-of-the-art Software Development solutions to our customers.

Company name - Elsner Technologies Pvt. Ltd.
Location - Shivranjani Cross Road, Satellite, Ahmedabad
Established - 2007
Employees - 160+
Contact no. - 9099916499(HR)
Email - career@elsner.com
Website - elsner.com
5 Days working"
Java Developer,"Job Description :
We PlusNeed Solutions Pvt Ltd. urgently required two to three Java API Development. We are looking for this position who have 1-2yr experience in Java API Development .
Responsibilities :
· Design and build complex Core Java software in an Agile environment, using industry best practices
· Participate in code reviews, pull-request development, pair programming and test development
· Pro-actively contribute to the team’s objectives of delivering incremental value every sprint and partner with other team members to deliver those objectives
· Interact with business stakeholders, customers and management to understand and refine user stories and the product backlog
· Have a passion for innovation and improvement whilst recognizing that customer outcomes are always king Requirements.
Required Experience and Qualifications
· Studied a computer science related subject at an undergraduate degree level or higher
· Fluency in the Java language and runtime library
· Fluency in the Spring Framework and the core concepts of Spring testing
· Proven Java Development experience in a commercial and/or open-source environment
· Proficient knowledge of Git or other SCMs
· Knowledge of test-driven development and a CI/CD setup
· Excellent communication skills and ability to work well in a team
· Experience with one or more of Linux/Mac OS/Windows environments
· Willingness to learn new skills and technologies and adapt to arising challenges
· Optional but desirable skills:
· Experience with compiler architectures, parsers and syntax trees
Note: We need those candidates who can do work from home. The candidate must have a laptop and a mobile.
Thanks & Regards,
Harsha Nagpure
PlusNeed Solutions Pvt Ltd
Job Types: Full-time, Walk-In
Job Type: Walk-In
Schedule:
Morning shift"
Machine Learning,"__
**
PDI provides services across all verticals and continues to grow as a leader across every sector of data management, from Big Data to Data Science. Our team’s talent is what sets us apart from our competitors and we continuously seek out the foremost talent of the technology community to give you the best result possible.
Job Description:
Candidate Option 1
Recent graduate (Bachelor's or Master's) from any IIM university who is looking to start a career in Data Governance
No work experience required
Candidate Option 2
Candidate with minimum 5 years experience working with leading Indian consulting firm: Cognizant, Accenture, Deloitte, PWC, KPMG
Bachelor's from any Indian university
All Candidates will:
· Be able to work remotely
· Will have the opportunity for Canadian visa sponsorship
Requirements:
Recent graduate from Top IIM university who is looking to start a career in Data Governance OR Candidate with minimum 5 years’ experience working with leading Indian consulting firm: Cognizant, Accenture, Deloitte, PWC, KPMG
Bachelor's in Information Systems, Computer Science, or other related field.
Must be able to work IST night shifts to overlap at least 3 hours with PST company.
Advanced English oral and written skills.
Ability to explain digital concepts and technologies to business leaders, and business concepts to technologists
Outstanding analytical and problem-solving abilities.
Familiarity with business information generation and analysis methods.
Ability to effectively drive business, culture and technology change in a dynamic and complex operating environment.
Familiarity and knowledge of Data Governance concepts and tools is preferred but not mandatory to have
Job Type: Full-time
Schedule:
Night shift
Experience:
work: 2 years (Preferred)
total work: 2 years (Preferred)
Education:
Bachelor's (Preferred)"
